layer,accuracy,precision,recall,f1,roc_auc,logloss,conf_matrix,mcfadden_r2,report
0,0.7683420296028112,0.7021276595744681,0.029817031850011295,0.057204767063921996,0.5670676999700313,0.5319658194213137,"[[14299    56]
 [ 4295   132]]",0.9373837235998654,"{'0': {'precision': 0.7690115090889534, 'recall': 0.9960989202368513, 'f1-score': 0.8679474339130171, 'support': 14355.0}, '1': {'precision': 0.7021276595744681, 'recall': 0.029817031850011295, 'f1-score': 0.057204767063921996, 'support': 4427.0}, 'accuracy': 0.7683420296028112, 'macro avg': {'precision': 0.7355695843317107, 'recall': 0.5129579760434313, 'f1-score': 0.46257610048846953, 'support': 18782.0}, 'weighted avg': {'precision': 0.7532466916147427, 'recall': 0.7683420296028112, 'f1-score': 0.6768518218301216, 'support': 18782.0}}"
1,0.7691939090618678,0.6597222222222222,0.04291845493562232,0.08059384941675504,0.5952559564315014,0.5280122654134519,"[[14257    98]
 [ 4237   190]]",0.9378490858872178,"{'0': {'precision': 0.7708986698388667, 'recall': 0.9931731104144897, 'f1-score': 0.8680325124052483, 'support': 14355.0}, '1': {'precision': 0.6597222222222222, 'recall': 0.04291845493562232, 'f1-score': 0.08059384941675504, 'support': 4427.0}, 'accuracy': 0.7691939090618678, 'macro avg': {'precision': 0.7153104460305444, 'recall': 0.5180457826750561, 'f1-score': 0.47431318091100166, 'support': 18782.0}, 'weighted avg': {'precision': 0.7446938922007619, 'recall': 0.7691939090618678, 'f1-score': 0.6824297565192904, 'support': 18782.0}}"
2,0.7689809391971036,0.6654135338345865,0.039981929071606054,0.07543149371404219,0.5942396948776298,0.5286435843808903,"[[14266    89]
 [ 4250   177]]",0.9377747750170105,"{'0': {'precision': 0.7704687837545906, 'recall': 0.9938000696621386, 'f1-score': 0.8679991481853305, 'support': 14355.0}, '1': {'precision': 0.6654135338345865, 'recall': 0.039981929071606054, 'f1-score': 0.07543149371404219, 'support': 4427.0}, 'accuracy': 0.7689809391971036, 'macro avg': {'precision': 0.7179411587945885, 'recall': 0.5168909993668723, 'f1-score': 0.4717153209496864, 'support': 18782.0}, 'weighted avg': {'precision': 0.7457067993335567, 'recall': 0.7689809391971036, 'f1-score': 0.681187466450457, 'support': 18782.0}}"
3,0.7682355446704291,0.6594827586206896,0.03456065055342218,0.06567933032839665,0.5935832625814944,0.5295045907687161,"[[14276    79]
 [ 4274   153]]",0.9376734282537521,"{'0': {'precision': 0.7695956873315364, 'recall': 0.9944966910484152, 'f1-score': 0.8677100744567695, 'support': 14355.0}, '1': {'precision': 0.6594827586206896, 'recall': 0.03456065055342218, 'f1-score': 0.06567933032839665, 'support': 4427.0}, 'accuracy': 0.7682355446704291, 'macro avg': {'precision': 0.7145392229761129, 'recall': 0.5145286708009187, 'f1-score': 0.4666947023925831, 'support': 18782.0}, 'weighted avg': {'precision': 0.743641585776701, 'recall': 0.7682355446704291, 'f1-score': 0.6786679008726834, 'support': 18782.0}}"
4,0.7681823022042381,0.6636771300448431,0.033431217528800544,0.06365591397849463,0.5910316172796408,0.5301419819121187,"[[14280    75]
 [ 4279   148]]",0.9375984026439231,"{'0': {'precision': 0.7694380085133897, 'recall': 0.9947753396029259, 'f1-score': 0.8677158655891111, 'support': 14355.0}, '1': {'precision': 0.6636771300448431, 'recall': 0.033431217528800544, 'f1-score': 0.06365591397849463, 'support': 4427.0}, 'accuracy': 0.7681823022042381, 'macro avg': {'precision': 0.7165575692791164, 'recall': 0.5141032785658632, 'f1-score': 0.4656858897838029, 'support': 18782.0}, 'weighted avg': {'precision': 0.7445097043402316, 'recall': 0.7681823022042381, 'f1-score': 0.6781953988773552, 'support': 18782.0}}"
5,0.768022574805665,0.6620370370370371,0.0323017845041789,0.061598104673702345,0.592832242728257,0.5296655164769358,"[[14282    73]
 [ 4284   143]]",0.9376544861182654,"{'0': {'precision': 0.7692556285683507, 'recall': 0.9949146638801811, 'f1-score': 0.8676528659518241, 'support': 14355.0}, '1': {'precision': 0.6620370370370371, 'recall': 0.0323017845041789, 'f1-score': 0.061598104673702345, 'support': 4427.0}, 'accuracy': 0.768022574805665, 'macro avg': {'precision': 0.7156463328026939, 'recall': 0.51360822419218, 'f1-score': 0.4646254853127632, 'support': 18782.0}, 'weighted avg': {'precision': 0.7439837350155276, 'recall': 0.768022574805665, 'f1-score': 0.6776622138286079, 'support': 18782.0}}"
6,0.7676498775423277,0.6363636363636364,0.03320533092387622,0.0631172176899957,0.5938302350833605,0.5298659444843737,"[[14271    84]
 [ 4280   147]]",0.9376308942725982,"{'0': {'precision': 0.7692846746806102, 'recall': 0.9941483803552769, 'f1-score': 0.8673798091533459, 'support': 14355.0}, '1': {'precision': 0.6363636363636364, 'recall': 0.03320533092387622, 'f1-score': 0.0631172176899957, 'support': 4427.0}, 'accuracy': 0.7676498775423277, 'macro avg': {'precision': 0.7028241555221233, 'recall': 0.5136768556395765, 'f1-score': 0.4652485134216708, 'support': 18782.0}, 'weighted avg': {'precision': 0.7379546013854743, 'recall': 0.7676498775423277, 'f1-score': 0.6778115793371254, 'support': 18782.0}}"
7,0.7682355446704291,0.6622807017543859,0.034108877343573527,0.0648764769065521,0.5936013114798467,0.5297302828109527,"[[14278    77]
 [ 4276   151]]",0.9376468626459968,"{'0': {'precision': 0.769537566023499, 'recall': 0.9946360153256705, 'f1-score': 0.8677261539396518, 'support': 14355.0}, '1': {'precision': 0.6622807017543859, 'recall': 0.034108877343573527, 'f1-score': 0.0648764769065521, 'support': 4427.0}, 'accuracy': 0.7682355446704291, 'macro avg': {'precision': 0.7159091338889425, 'recall': 0.514372446334622, 'f1-score': 0.46630131542310194, 'support': 18782.0}, 'weighted avg': {'precision': 0.7442566514180595, 'recall': 0.7682355446704291, 'f1-score': 0.6784909542683957, 'support': 18782.0}}"
8,0.767969332339474,0.6506550218340611,0.03365710413372487,0.06400343642611683,0.5953675228563649,0.5288701543043164,"[[14275    80]
 [ 4278   149]]",0.937748106076204,"{'0': {'precision': 0.7694173449037891, 'recall': 0.9944270289097875, 'f1-score': 0.8675701956970949, 'support': 14355.0}, '1': {'precision': 0.6506550218340611, 'recall': 0.03365710413372487, 'f1-score': 0.06400343642611683, 'support': 4427.0}, 'accuracy': 0.767969332339474, 'macro avg': {'precision': 0.710036183368925, 'recall': 0.5140420665217562, 'f1-score': 0.4657868160616059, 'support': 18782.0}, 'weighted avg': {'precision': 0.7414245430600193, 'recall': 0.767969332339474, 'f1-score': 0.6781659765887668, 'support': 18782.0}}"
9,0.7674901501437547,0.6376146788990825,0.03139823808448159,0.05984930032292788,0.5947913743260479,0.5292236744513444,"[[14276    79]
 [ 4288   139]]",0.9377064941634998,"{'0': {'precision': 0.7690152984270632, 'recall': 0.9944966910484152, 'f1-score': 0.867341049242079, 'support': 14355.0}, '1': {'precision': 0.6376146788990825, 'recall': 0.03139823808448159, 'f1-score': 0.05984930032292788, 'support': 4427.0}, 'accuracy': 0.7674901501437547, 'macro avg': {'precision': 0.7033149886630728, 'recall': 0.5129474645664484, 'f1-score': 0.46359517478250345, 'support': 18782.0}, 'weighted avg': {'precision': 0.7380435945270328, 'recall': 0.7674901501437547, 'f1-score': 0.6770116928122482, 'support': 18782.0}}"
