layer,accuracy,precision,recall,f1,roc_auc,logloss,conf_matrix,mcfadden_r2,report
0,0.7668230804929613,0.6818181818181818,0.009898812142542894,0.019514310494362534,0.5649919692670489,0.535225520230401,"[[14826    21]
 [ 4501    45]]",0.9366533614370639,"{'0': {'precision': 0.7671133647229265, 'recall': 0.9985855728429985, 'f1-score': 0.8676771814829988, 'support': 14847.0}, '1': {'precision': 0.6818181818181818, 'recall': 0.009898812142542894, 'f1-score': 0.019514310494362534, 'support': 4546.0}, 'accuracy': 0.7668230804929613, 'macro avg': {'precision': 0.7244657732705542, 'recall': 0.5042421924927707, 'f1-score': 0.4435957459886807, 'support': 19393.0}, 'weighted avg': {'precision': 0.7471189388226032, 'recall': 0.7668230804929613, 'f1-score': 0.6688555235902365, 'support': 19393.0}}"
1,0.7665652555045634,0.5772357723577236,0.015618125824901012,0.03041336474619833,0.5852254663501133,0.5313950976142073,"[[14795    52]
 [ 4475    71]]",0.9371067112640805,"{'0': {'precision': 0.7677737415672029, 'recall': 0.996497608944568, 'f1-score': 0.8673095524225459, 'support': 14847.0}, '1': {'precision': 0.5772357723577236, 'recall': 0.015618125824901012, 'f1-score': 0.03041336474619833, 'support': 4546.0}, 'accuracy': 0.7665652555045634, 'macro avg': {'precision': 0.6725047569624633, 'recall': 0.5060578673847345, 'f1-score': 0.44886145858437215, 'support': 19393.0}, 'weighted avg': {'precision': 0.7231088826992458, 'recall': 0.7665652555045634, 'f1-score': 0.6711289682335768, 'support': 19393.0}}"
2,0.7658433455370495,0.5280898876404494,0.010338759348878134,0.020280474649406688,0.5893276843957953,0.5309657761419362,"[[14805    42]
 [ 4499    47]]",0.9371575236246712,"{'0': {'precision': 0.7669394944053046, 'recall': 0.9971711456859972, 'f1-score': 0.8670317121021346, 'support': 14847.0}, '1': {'precision': 0.5280898876404494, 'recall': 0.010338759348878134, 'f1-score': 0.020280474649406688, 'support': 4546.0}, 'accuracy': 0.7658433455370495, 'macro avg': {'precision': 0.6475146910228771, 'recall': 0.5037549525174376, 'f1-score': 0.4436560933757706, 'support': 19393.0}, 'weighted avg': {'precision': 0.7109496881683619, 'recall': 0.7658433455370495, 'f1-score': 0.6685409615498682, 'support': 19393.0}}"
3,0.7659464755324086,0.5636363636363636,0.006819181698196217,0.013475331449684852,0.5877911287003073,0.5312243087401644,"[[14823    24]
 [ 4515    31]]",0.9371269249883251,"{'0': {'precision': 0.7665218740304065, 'recall': 0.9983835118205698, 'f1-score': 0.867222465993857, 'support': 14847.0}, '1': {'precision': 0.5636363636363636, 'recall': 0.006819181698196217, 'f1-score': 0.013475331449684852, 'support': 4546.0}, 'accuracy': 0.7659464755324086, 'macro avg': {'precision': 0.6650791188333851, 'recall': 0.5026013467593831, 'f1-score': 0.4403488987217709, 'support': 19393.0}, 'weighted avg': {'precision': 0.7189625727231658, 'recall': 0.7659464755324086, 'f1-score': 0.6670917758666046, 'support': 19393.0}}"
4,0.7650183055741763,0.4225352112676056,0.006599208095028597,0.01299545159194282,0.5907812555050813,0.5306463371497976,"[[14806    41]
 [ 4516    30]]",0.9371953308397853,"{'0': {'precision': 0.7662767829417244, 'recall': 0.9972384993601401, 'f1-score': 0.8666334982001229, 'support': 14847.0}, '1': {'precision': 0.4225352112676056, 'recall': 0.006599208095028597, 'f1-score': 0.01299545159194282, 'support': 4546.0}, 'accuracy': 0.7650183055741763, 'macro avg': {'precision': 0.594405997104665, 'recall': 0.5019188537275844, 'f1-score': 0.43981447489603287, 'support': 19393.0}, 'weighted avg': {'precision': 0.6856987813519475, 'recall': 0.7650183055741763, 'f1-score': 0.6665283798646005, 'support': 19393.0}}"
5,0.7656370855463311,0.5079365079365079,0.007039155301363837,0.01388587546105446,0.5953581643483579,0.5296344582164195,"[[14816    31]
 [ 4514    32]]",0.9373150918127572,"{'0': {'precision': 0.7664769787894464, 'recall': 0.9979120361015693, 'f1-score': 0.8670158293589256, 'support': 14847.0}, '1': {'precision': 0.5079365079365079, 'recall': 0.007039155301363837, 'f1-score': 0.01388587546105446, 'support': 4546.0}, 'accuracy': 0.7656370855463311, 'macro avg': {'precision': 0.6372067433629771, 'recall': 0.5024755957014666, 'f1-score': 0.44045085240999005, 'support': 19393.0}, 'weighted avg': {'precision': 0.7058713488973483, 'recall': 0.7656370855463311, 'f1-score': 0.6670298153116033, 'support': 19393.0}}"
6,0.7656370855463311,0.5076923076923077,0.007259128904531456,0.014313597918022121,0.5903120910868214,0.5312165697934889,"[[14815    32]
 [ 4513    33]]",0.9371278409316787,"{'0': {'precision': 0.7665045529801324, 'recall': 0.9978446824274264, 'f1-score': 0.8670080468178493, 'support': 14847.0}, '1': {'precision': 0.5076923076923077, 'recall': 0.007259128904531456, 'f1-score': 0.014313597918022121, 'support': 4546.0}, 'accuracy': 0.7656370855463311, 'macro avg': {'precision': 0.63709843033622, 'recall': 0.502551905665979, 'f1-score': 0.4406608223679357, 'support': 19393.0}, 'weighted avg': {'precision': 0.7058352152253523, 'recall': 0.7656370855463311, 'f1-score': 0.6671241214479419, 'support': 19393.0}}"
7,0.7643995256020214,0.35064935064935066,0.005939287285525737,0.011680726800778715,0.5928384761404573,0.5318111903091539,"[[14797    50]
 [ 4519    27]]",0.9370574645959767,"{'0': {'precision': 0.7660488714019466, 'recall': 0.9966323162928538, 'f1-score': 0.8662588180194948, 'support': 14847.0}, '1': {'precision': 0.35064935064935066, 'recall': 0.005939287285525737, 'f1-score': 0.011680726800778715, 'support': 4546.0}, 'accuracy': 0.7643995256020214, 'macro avg': {'precision': 0.5583491110256487, 'recall': 0.5012858017891898, 'f1-score': 0.43896977241013674, 'support': 19393.0}, 'weighted avg': {'precision': 0.6686732089803872, 'recall': 0.7643995256020214, 'f1-score': 0.6659333396159325, 'support': 19393.0}}"
8,0.7648636105811375,0.390625,0.005499340079190497,0.010845986984815618,0.5845789244160506,0.5334523170007295,"[[14808    39]
 [ 4521    25]]",0.9368632289785823,"{'0': {'precision': 0.7661027471674686, 'recall': 0.997373206708426, 'f1-score': 0.8665730337078652, 'support': 14847.0}, '1': {'precision': 0.390625, 'recall': 0.005499340079190497, 'f1-score': 0.010845986984815618, 'support': 4546.0}, 'accuracy': 0.7648636105811375, 'macro avg': {'precision': 0.5783638735837343, 'recall': 0.5014362733938083, 'f1-score': 0.4387095103463404, 'support': 19393.0}, 'weighted avg': {'precision': 0.6780853265196415, 'recall': 0.7648636105811375, 'f1-score': 0.6659782234978419, 'support': 19393.0}}"
9,0.7648636105811375,0.3055555555555556,0.002419709634843819,0.004801396769969445,0.5833473122580042,0.533992130182489,"[[14822    25]
 [ 4535    11]]",0.9367993393671495,"{'0': {'precision': 0.7657178281758537, 'recall': 0.9983161581464269, 'f1-score': 0.8666822593848673, 'support': 14847.0}, '1': {'precision': 0.3055555555555556, 'recall': 0.002419709634843819, 'f1-score': 0.004801396769969445, 'support': 4546.0}, 'accuracy': 0.7648636105811375, 'macro avg': {'precision': 0.5356366918657046, 'recall': 0.5003679338906354, 'f1-score': 0.4357418280774184, 'support': 19393.0}, 'weighted avg': {'precision': 0.6578491285764171, 'recall': 0.7648636105811375, 'f1-score': 0.6646449056259168, 'support': 19393.0}}"
10,0.764915175578817,0.27586206896551724,0.0017597888253409592,0.0034972677595628415,0.5842821889594438,0.5339214907402091,"[[14826    21]
 [ 4538     8]]",0.9368076999012594,"{'0': {'precision': 0.7656475934724231, 'recall': 0.9985855728429985, 'f1-score': 0.8667387682324399, 'support': 14847.0}, '1': {'precision': 0.27586206896551724, 'recall': 0.0017597888253409592, 'f1-score': 0.0034972677595628415, 'support': 4546.0}, 'accuracy': 0.764915175578817, 'macro avg': {'precision': 0.5207548312189701, 'recall': 0.5001726808341698, 'f1-score': 0.43511801799600136, 'support': 19393.0}, 'weighted avg': {'precision': 0.6508347747023311, 'recall': 0.764915175578817, 'f1-score': 0.6643824612582895, 'support': 19393.0}}"
11,0.76213066570412,0.20353982300884957,0.005059392872855257,0.00987336338270015,0.5698621910639128,0.5376006636870646,"[[14757    90]
 [ 4523    23]]",0.9363722512351071,"{'0': {'precision': 0.7654045643153526, 'recall': 0.9939381693271367, 'f1-score': 0.8648284349635186, 'support': 14847.0}, '1': {'precision': 0.20353982300884957, 'recall': 0.005059392872855257, 'f1-score': 0.00987336338270015, 'support': 4546.0}, 'accuracy': 0.76213066570412, 'macro avg': {'precision': 0.4844721936621011, 'recall': 0.499498781099996, 'f1-score': 0.4373508991731094, 'support': 19393.0}, 'weighted avg': {'precision': 0.6336953334599221, 'recall': 0.76213066570412, 'f1-score': 0.6644145869046107, 'support': 19393.0}}"
12,0.7647089155880988,0.42735042735042733,0.010998680158380994,0.02144542140253056,0.5777689434727252,0.5355012494736872,"[[14780    67]
 [ 4496    50]]",0.9366207274910814,"{'0': {'precision': 0.766756588503839, 'recall': 0.995487303832424, 'f1-score': 0.8662778770916977, 'support': 14847.0}, '1': {'precision': 0.42735042735042733, 'recall': 0.010998680158380994, 'f1-score': 0.02144542140253056, 'support': 4546.0}, 'accuracy': 0.7647089155880988, 'macro avg': {'precision': 0.5970535079271332, 'recall': 0.5032429919954025, 'f1-score': 0.44386164924711413, 'support': 19393.0}, 'weighted avg': {'precision': 0.6871948699144815, 'recall': 0.7647089155880988, 'f1-score': 0.6682369167677172, 'support': 19393.0}}"
