layer,accuracy,precision,recall,f1,roc_auc,logloss,conf_matrix,mcfadden_r2,report
0,0.5473325524438292,0.5527444253859348,0.6622482531853678,0.6025617053103964,0.5555464685618782,0.6852591380556097,"[[3835 5215]
 [3287 6445]]",0.9633084746348013,"{'0': {'precision': 0.5384723392305533, 'recall': 0.42375690607734806, 'f1-score': 0.4742765273311897, 'support': 9050.0}, '1': {'precision': 0.5527444253859348, 'recall': 0.6622482531853678, 'f1-score': 0.6025617053103964, 'support': 9732.0}, 'accuracy': 0.5473325524438292, 'macro avg': {'precision': 0.545608382308244, 'recall': 0.543002579631358, 'f1-score': 0.5384191163207931, 'support': 18782.0}, 'weighted avg': {'precision': 0.5458675017512739, 'recall': 0.5473325524438292, 'f1-score': 0.5407482210855098, 'support': 18782.0}}"
1,0.5520711319348313,0.5580699128290922,0.6512535963830661,0.6010716487268244,0.5597690707650106,0.6868874446700545,"[[4031 5019]
 [3394 6338]]",0.9632212885614923,"{'0': {'precision': 0.5428956228956229, 'recall': 0.44541436464088396, 'f1-score': 0.4893474962063733, 'support': 9050.0}, '1': {'precision': 0.5580699128290922, 'recall': 0.6512535963830661, 'f1-score': 0.6010716487268244, 'support': 9732.0}, 'accuracy': 0.5520711319348313, 'macro avg': {'precision': 0.5504827678623576, 'recall': 0.548333980511975, 'f1-score': 0.5452095724665988, 'support': 18782.0}, 'weighted avg': {'precision': 0.5507582674293532, 'recall': 0.5520711319348313, 'f1-score': 0.5472380005365315, 'support': 18782.0}}"
2,0.5471728250452561,0.5540766857646541,0.6459103986847513,0.5964795748920625,0.5547766893065651,0.6887637624385266,"[[3991 5059]
 [3446 6286]]",0.9631208229753048,"{'0': {'precision': 0.536641118730671, 'recall': 0.44099447513812157, 'f1-score': 0.4841390186207315, 'support': 9050.0}, '1': {'precision': 0.5540766857646541, 'recall': 0.6459103986847513, 'f1-score': 0.5964795748920625, 'support': 9732.0}, 'accuracy': 0.5471728250452561, 'macro avg': {'precision': 0.5453589022476626, 'recall': 0.5434524369114364, 'f1-score': 0.5403092967563969, 'support': 18782.0}, 'weighted avg': {'precision': 0.5456754568402824, 'recall': 0.5471728250452561, 'f1-score': 0.5423489160561801, 'support': 18782.0}}"
3,0.5433393674795016,0.5512467832105777,0.6383066173448417,0.5915908766249226,0.5543831819843632,0.6886620193320402,"[[3993 5057]
 [3520 6212]]",0.9631262707096947,"{'0': {'precision': 0.5314787701317716, 'recall': 0.4412154696132597, 'f1-score': 0.4821590291613838, 'support': 9050.0}, '1': {'precision': 0.5512467832105777, 'recall': 0.6383066173448417, 'f1-score': 0.5915908766249226, 'support': 9732.0}, 'accuracy': 0.5433393674795016, 'macro avg': {'precision': 0.5413627766711746, 'recall': 0.5397610434790507, 'f1-score': 0.5368749528931532, 'support': 18782.0}, 'weighted avg': {'precision': 0.5417216784100668, 'recall': 0.5433393674795016, 'f1-score': 0.5388617626037839, 'support': 18782.0}}"
4,0.5429666702161644,0.5510312944523471,0.6368680641183724,0.5908484270734032,0.5523553896356044,0.6891192351416311,"[[4000 5050]
 [3534 6198]]",0.9631017895396623,"{'0': {'precision': 0.5309264666843642, 'recall': 0.4419889502762431, 'f1-score': 0.482392667631452, 'support': 9050.0}, '1': {'precision': 0.5510312944523471, 'recall': 0.6368680641183724, 'f1-score': 0.5908484270734032, 'support': 9732.0}, 'accuracy': 0.5429666702161644, 'macro avg': {'precision': 0.5409788805683556, 'recall': 0.5394285071973077, 'f1-score': 0.5366205473524276, 'support': 18782.0}, 'weighted avg': {'precision': 0.5413438974072909, 'recall': 0.5429666702161644, 'f1-score': 0.5385896355203387, 'support': 18782.0}}"
5,0.5495154935576616,0.5565240594147469,0.6429305384299219,0.5966150178784267,0.5575948797950827,0.6877839046162139,"[[4064 4986]
 [3475 6257]]",0.963173288496952,"{'0': {'precision': 0.539063536278021, 'recall': 0.449060773480663, 'f1-score': 0.48996322864548797, 'support': 9050.0}, '1': {'precision': 0.5565240594147469, 'recall': 0.6429305384299219, 'f1-score': 0.5966150178784267, 'support': 9732.0}, 'accuracy': 0.5495154935576616, 'macro avg': {'precision': 0.5477937978463839, 'recall': 0.5459956559552924, 'f1-score': 0.5432891232619573, 'support': 18782.0}, 'weighted avg': {'precision': 0.5481108055340435, 'recall': 0.5495154935576616, 'f1-score': 0.5452254591222722, 'support': 18782.0}}"
6,0.5464274305185817,0.5541179619880432,0.6381011097410604,0.5931515354123884,0.5560726588596485,0.6882279773783043,"[[4053 4997]
 [3522 6210]]",0.9631495110584484,"{'0': {'precision': 0.5350495049504951, 'recall': 0.4478453038674033, 'f1-score': 0.48757894736842106, 'support': 9050.0}, '1': {'precision': 0.5541179619880432, 'recall': 0.6381011097410604, 'f1-score': 0.5931515354123884, 'support': 9732.0}, 'accuracy': 0.5464274305185817, 'macro avg': {'precision': 0.5445837334692691, 'recall': 0.5429732068042319, 'f1-score': 0.5403652413904048, 'support': 18782.0}, 'weighted avg': {'precision': 0.5449299342918548, 'recall': 0.5464274305185817, 'f1-score': 0.5422819836182288, 'support': 18782.0}}"
7,0.547013097646683,0.554535733380859,0.6394369091656391,0.5939677388565429,0.5548020201056831,0.6887283467047736,"[[4051 4999]
 [3509 6223]]",0.9631227192758737,"{'0': {'precision': 0.5358465608465608, 'recall': 0.4476243093922652, 'f1-score': 0.48777844671884407, 'support': 9050.0}, '1': {'precision': 0.554535733380859, 'recall': 0.6394369091656391, 'f1-score': 0.5939677388565429, 'support': 9732.0}, 'accuracy': 0.547013097646683, 'macro avg': {'precision': 0.5451911471137099, 'recall': 0.5435306092789521, 'f1-score': 0.5408730927876935, 'support': 18782.0}, 'weighted avg': {'precision': 0.5455304617678572, 'recall': 0.547013097646683, 'f1-score': 0.542801031698297, 'support': 18782.0}}"
8,0.5512192524757746,0.5581333095386812,0.6427250308261405,0.5974497349443622,0.5546375118365567,0.6885940892503387,"[[4098 4952]
 [3477 6255]]",0.9631299079589882,"{'0': {'precision': 0.540990099009901, 'recall': 0.45281767955801105, 'f1-score': 0.49299248120300754, 'support': 9050.0}, '1': {'precision': 0.5581333095386812, 'recall': 0.6427250308261405, 'f1-score': 0.5974497349443622, 'support': 9732.0}, 'accuracy': 0.5512192524757746, 'macro avg': {'precision': 0.5495617042742911, 'recall': 0.5477713551920758, 'f1-score': 0.5452211080736848, 'support': 18782.0}, 'weighted avg': {'precision': 0.5498729509354727, 'recall': 0.5512192524757746, 'f1-score': 0.5471176006477346, 'support': 18782.0}}"
9,0.5478117346395485,0.5550324242693435,0.6420057542129058,0.5953594740101958,0.5545342243961369,0.688291176234044,"[[4041 5009]
 [3484 6248]]",0.9631461271379872,"{'0': {'precision': 0.5370099667774086, 'recall': 0.4465193370165746, 'f1-score': 0.4876018099547511, 'support': 9050.0}, '1': {'precision': 0.5550324242693435, 'recall': 0.6420057542129058, 'f1-score': 0.5953594740101958, 'support': 9732.0}, 'accuracy': 0.5478117346395485, 'macro avg': {'precision': 0.546021195523376, 'recall': 0.5442625456147402, 'f1-score': 0.5414806419824735, 'support': 18782.0}, 'weighted avg': {'precision': 0.5463484055119157, 'recall': 0.5478117346395485, 'f1-score': 0.5434370557532596, 'support': 18782.0}}"
