layer,accuracy,precision,recall,f1,roc_auc,logloss,conf_matrix,mcfadden_r2,report
0,0.5491672252874749,0.5512433754586221,0.6761,0.6073209072535369,0.5427760246992441,0.6912274257217415,"[[3889 5504]
 [3239 6761]]",0.9628090601074608,"{'0': {'precision': 0.5455948372615039, 'recall': 0.4140317257532205, 'f1-score': 0.47079474608074573, 'support': 9393.0}, '1': {'precision': 0.5512433754586221, 'recall': 0.6761, 'f1-score': 0.6073209072535369, 'support': 10000.0}, 'accuracy': 0.5491672252874749, 'macro avg': {'precision': 0.548419106360063, 'recall': 0.5450658628766103, 'f1-score': 0.5390578266671413, 'support': 19393.0}, 'weighted avg': {'precision': 0.5485075058517779, 'recall': 0.5491672252874749, 'f1-score': 0.5411944579215084, 'support': 19393.0}}"
1,0.5463827154127778,0.5486532395049745,0.6783,0.6066270178419712,0.5414946023634621,0.6920943040162051,"[[3813 5580]
 [3217 6783]]",0.9627624184127829,"{'0': {'precision': 0.5423897581792319, 'recall': 0.40594059405940597, 'f1-score': 0.4643487791511904, 'support': 9393.0}, '1': {'precision': 0.5486532395049745, 'recall': 0.6783, 'f1-score': 0.6066270178419712, 'support': 10000.0}, 'accuracy': 0.5463827154127778, 'macro avg': {'precision': 0.5455214988421031, 'recall': 0.542120297029703, 'f1-score': 0.5354878984965807, 'support': 19393.0}, 'weighted avg': {'precision': 0.5456195221795117, 'recall': 0.5463827154127778, 'f1-score': 0.5377145496306318, 'support': 19393.0}}"
2,0.5458155004383025,0.5492480581722029,0.6647,0.6014840285946973,0.5506266262110082,0.6898088314683944,"[[3938 5455]
 [3353 6647]]",0.9628853864389183,"{'0': {'precision': 0.5401179536414757, 'recall': 0.4192483764505483, 'f1-score': 0.47206904818988255, 'support': 9393.0}, '1': {'precision': 0.5492480581722029, 'recall': 0.6647, 'f1-score': 0.6014840285946973, 'support': 10000.0}, 'accuracy': 0.5458155004383025, 'macro avg': {'precision': 0.5446830059068393, 'recall': 0.5419741882252741, 'f1-score': 0.5367765383922899, 'support': 19393.0}, 'weighted avg': {'precision': 0.544825891830888, 'recall': 0.5458155004383025, 'f1-score': 0.5388018798326478, 'support': 19393.0}}"
3,0.5466405404011757,0.55,0.6644,0.6018115942028985,0.5443153305653146,0.6919694919423045,"[[3957 5436]
 [3356 6644]]",0.9627691338267921,"{'0': {'precision': 0.5410912074388076, 'recall': 0.4212711593740019, 'f1-score': 0.47372201604214054, 'support': 9393.0}, '1': {'precision': 0.55, 'recall': 0.6644, 'f1-score': 0.6018115942028985, 'support': 10000.0}, 'accuracy': 0.5466405404011757, 'macro avg': {'precision': 0.5455456037194037, 'recall': 0.5428355796870009, 'f1-score': 0.5377668051225195, 'support': 19393.0}, 'weighted avg': {'precision': 0.5456850261162647, 'recall': 0.5466405404011757, 'f1-score': 0.5397714040485129, 'support': 19393.0}}"
4,0.5456608054452637,0.5492421104944918,0.6631,0.6008245367643728,0.5464790056424997,0.6908488985500578,"[[3951 5442]
 [3369 6631]]",0.962829426459787,"{'0': {'precision': 0.5397540983606557, 'recall': 0.4206323858192271, 'f1-score': 0.4728056004308024, 'support': 9393.0}, '1': {'precision': 0.5492421104944918, 'recall': 0.6631, 'f1-score': 0.6008245367643728, 'support': 10000.0}, 'accuracy': 0.5456608054452637, 'macro avg': {'precision': 0.5444981044275737, 'recall': 0.5418661929096136, 'f1-score': 0.5368150685975875, 'support': 19393.0}, 'weighted avg': {'precision': 0.544646591597306, 'recall': 0.5456608054452637, 'f1-score': 0.5388185619806246, 'support': 19393.0}}"
5,0.5466921053988553,0.5506833235516057,0.6568,0.5990787613444611,0.5507773341850315,0.6898742176125062,"[[4034 5359]
 [3432 6568]]",0.9628818683896265,"{'0': {'precision': 0.5403160996517546, 'recall': 0.4294687533269456, 'f1-score': 0.478557447060917, 'support': 9393.0}, '1': {'precision': 0.5506833235516057, 'recall': 0.6568, 'f1-score': 0.5990787613444611, 'support': 10000.0}, 'accuracy': 0.5466921053988553, 'macro avg': {'precision': 0.5454997116016802, 'recall': 0.5431343766634729, 'f1-score': 0.538818104202689, 'support': 19393.0}, 'weighted avg': {'precision': 0.5456619584151492, 'recall': 0.5466921053988553, 'f1-score': 0.54070425997462, 'support': 19393.0}}"
6,0.5426184705821688,0.5473437238143121,0.6532,0.5956049968086077,0.5512594378792719,0.6893139507924332,"[[3991 5402]
 [3468 6532]]",0.9629120130986669,"{'0': {'precision': 0.5350583188094918, 'recall': 0.42489087618439264, 'f1-score': 0.473652978874911, 'support': 9393.0}, '1': {'precision': 0.5473437238143121, 'recall': 0.6532, 'f1-score': 0.5956049968086077, 'support': 10000.0}, 'accuracy': 0.5426184705821688, 'macro avg': {'precision': 0.541201021311902, 'recall': 0.5390454380921963, 'f1-score': 0.5346289878417594, 'support': 19393.0}, 'weighted avg': {'precision': 0.5413932876151538, 'recall': 0.5426184705821688, 'f1-score': 0.5365375340926166, 'support': 19393.0}}"
7,0.5422575155984118,0.5469442354318201,0.6542,0.595783434269842,0.5490840625998084,0.6905294854464921,"[[3974 5419]
 [3458 6542]]",0.9628466122268639,"{'0': {'precision': 0.5347147470398278, 'recall': 0.42308101777919727, 'f1-score': 0.4723922734026746, 'support': 9393.0}, '1': {'precision': 0.5469442354318201, 'recall': 0.6542, 'f1-score': 0.595783434269842, 'support': 10000.0}, 'accuracy': 0.5422575155984118, 'macro avg': {'precision': 0.540829491235824, 'recall': 0.5386405088895987, 'f1-score': 0.5340878538362583, 'support': 19393.0}, 'weighted avg': {'precision': 0.5410208824453826, 'recall': 0.5422575155984118, 'f1-score': 0.5360189226406302, 'support': 19393.0}}"
8,0.5440107255195173,0.5483736098335982,0.6558,0.59729495878683,0.5498127648248696,0.6896100632277699,"[[3992 5401]
 [3442 6558]]",0.9628960810054452,"{'0': {'precision': 0.5369921980091472, 'recall': 0.4249973384435218, 'f1-score': 0.47447554525465024, 'support': 9393.0}, '1': {'precision': 0.5483736098335982, 'recall': 0.6558, 'f1-score': 0.59729495878683, 'support': 10000.0}, 'accuracy': 0.5440107255195173, 'macro avg': {'precision': 0.5426829039213728, 'recall': 0.5403986692217609, 'f1-score': 0.5358852520207401, 'support': 19393.0}, 'weighted avg': {'precision': 0.5428610227523283, 'recall': 0.5440107255195173, 'f1-score': 0.5378073729925865, 'support': 19393.0}}"
9,0.5394214407260352,0.5444333499750375,0.6543,0.5943319102552457,0.5445647396997765,0.6915906097361958,"[[3918 5475]
 [3457 6543]]",0.9627895192814622,"{'0': {'precision': 0.5312542372881356, 'recall': 0.4171191312679655, 'f1-score': 0.4673187022900763, 'support': 9393.0}, '1': {'precision': 0.5444333499750375, 'recall': 0.6543, 'f1-score': 0.5943319102552457, 'support': 10000.0}, 'accuracy': 0.5394214407260352, 'macro avg': {'precision': 0.5378437936315865, 'recall': 0.5357095656339828, 'f1-score': 0.530825306272661, 'support': 19393.0}, 'weighted avg': {'precision': 0.5380500464393251, 'recall': 0.5394214407260352, 'f1-score': 0.5328130600300699, 'support': 19393.0}}"
