r_prominence,r_boundary,r_prominence_shuffled,r_boundary_shuffled,r_prominence_mean,r_boundary_mean,r_prominence_shuffled_mean,r_boundary_shuffled_mean
"[ 0.0640131  -0.01426382  0.0035605  ... -0.01169803 -0.01303619
 -0.0432373 ]","[-0.09170629  0.10013276 -0.04154845 ... -0.02320822  0.01094413
  0.03106654]","[ 0.00731068 -0.00184444  0.00944734 ...  0.00329058  0.00744912
  0.00615211]","[-0.00437181  0.0025233  -0.00235799 ...  0.00254854  0.00542376
 -0.00430316]",-0.002688554575437296,0.0071586860813298995,-0.00011673176819116272,5.449281341030884e-06
"[ 0.0976268   0.03269956  0.03589828 ...  0.00931645  0.00162637
 -0.04712944]","[-0.07090466  0.02447875 -0.02169917 ... -0.01105705  0.06450758
  0.0030473 ]","[5.36435841e-03 3.78217848e-05 8.56406622e-03 ... 3.95658070e-03
 6.48991640e-03 6.59893915e-03]","[-0.00189948  0.00139655 -0.00060203 ...  0.00049011  0.00561652
 -0.00447097]",-0.0027644646112822534,0.007322605414124616,-0.00012805953918678179,2.657019187858714e-05
"[ 0.08978288  0.03374431  0.04060449 ...  0.00541551 -0.0178607
 -0.04326377]","[-0.07112057  0.02180347 -0.02271401 ...  0.00236669  0.04217109
  0.0120332 ]","[ 0.00579121 -0.00059997  0.00920466 ...  0.00478304  0.00392409
  0.00665858]","[-0.00208156  0.00097753 -0.0014433  ... -0.00043715  0.00250228
 -0.00339963]",-0.0019489038070307128,0.0061937985092817924,-7.294152102237637e-05,2.1674921926869396e-05
"[ 0.08838915  0.02984263  0.0435164  ...  0.00278707 -0.01286393
 -0.04183927]","[-0.06177072  0.01932263 -0.01922457 ...  0.0119927   0.01716115
  0.01343905]","[ 0.00586768 -0.00117896  0.00799395 ...  0.00444356  0.00173781
  0.00545887]","[-0.00162537  0.0008976  -0.00036547 ...  0.00039001  0.00059941
 -0.00163702]",-0.001646837987077873,0.005420578872410489,-3.528086560173241e-05,1.9561415387909885e-05
"[ 0.08135502  0.02394668  0.04379069 ...  0.00542274 -0.00934522
 -0.03653326]","[-0.0617284   0.02382476 -0.0262126  ...  0.02408129  0.0172823
  0.01739457]","[ 0.00584384 -0.00236474  0.00616232 ...  0.00408384  0.00262797
  0.00362426]","[-0.00257786  0.0006508  -0.00090113 ...  0.00134536  0.0018731
 -0.00145688]",-0.001634730962067176,0.004832551092387507,-8.988150327125384e-06,6.78543679763857e-05
"[ 0.07093617  0.02139264  0.03960746 ...  0.01058152 -0.01471982
 -0.03250628]","[-0.058113    0.0271796  -0.02686636 ...  0.01445056  0.01361947
  0.01696405]","[ 0.00560962 -0.00233116  0.00479932 ...  0.00561779  0.00297067
  0.00256244]","[-0.00149341  0.00061361 -0.00081041 ...  0.00127955  0.00068051
 -0.00282078]",-0.0014966514000461116,0.0044104747010390855,-2.2285812008436667e-05,8.197341831675263e-05
"[ 0.06990516  0.02236215  0.03370102 ...  0.01482742 -0.01651382
 -0.04644101]","[-0.05463432  0.02541839 -0.02853733 ... -0.00654322  0.01449331
  0.03692543]","[ 0.0040896  -0.00271548  0.0028074  ...  0.00835455  0.00458305
  0.00016508]","[-0.00092791  0.00037624  0.00012208 ...  0.00059135 -0.00138943
 -0.00081663]",-0.0013383718736001125,0.004013363246549513,-2.8325738332659765e-05,0.0001271467767485552
"[ 0.06423378  0.01807883  0.02448433 ...  0.01957329 -0.00871081
 -0.04466857]","[-0.04735916  0.01561296 -0.02077153 ... -0.00827353  0.01403822
  0.03637683]","[ 0.00369997 -0.0023855   0.00274339 ...  0.00747707  0.00586845
  0.00010552]","[-0.00162749 -0.0004828  -0.00033698 ...  0.00199438 -0.0017597
 -0.00134513]",-0.0012203580142308437,0.003964959438826559,-5.0903912568882274e-05,0.00016232264883484532
"[ 0.06211803  0.01421493  0.03165614 ...  0.03371223 -0.0253444
 -0.04549379]","[-0.05330164  0.00963466 -0.02623398 ... -0.01749462  0.01824996
  0.04585737]","[ 0.0048181  -0.00226702  0.00209713 ...  0.00715568  0.00376105
 -0.00101386]","[-0.00122625 -0.00041872 -0.0020703  ...  0.00173792  0.00040565
 -0.00236389]",-0.001144910967841045,0.003888574897655728,-6.0162216466015344e-05,0.00016574788563312722
"[ 0.04308612  0.01228149  0.017788   ...  0.03121227 -0.02548676
 -0.04719655]","[-0.04613353  0.0039176  -0.01962523 ...  0.00465956  0.01845283
  0.04237891]","[ 0.00325305 -0.00109511  0.0022785  ...  0.00675711  0.00285751
 -0.00202165]","[ 0.00010311 -0.00058356 -0.00247874 ...  0.00288659  0.0028271
 -0.00043345]",-0.001080992295842272,0.0036068304569786235,-8.303256004413748e-05,0.0001953155461397843
